xflr5 v6.47

Plane name :, 42RC15TC_NoFlaps_NoTail_10.8%
Polar name :, T1-55.0 ft/s-VLM2-12.0lb-x10.5in-z0.6in
Freestream speed :, 55.0 ft/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.429749,   0.034504,   0.022050,   0.056554,  -0.000000,  -0.000000,  -0.184295,   0.000000,   0.000000,   16.7640,    0.6698
   -4.000,     0.000,   0.469895,   0.041187,   0.018393,   0.059580,  -0.000000,  -0.000000,  -0.182050,   0.000000,   0.000000,   16.7640,    0.6308
   -3.000,     0.000,   0.509722,   0.048445,   0.015843,   0.064288,  -0.000000,  -0.000000,  -0.179739,   0.000000,   0.000000,   16.7640,    0.5982
   -2.000,     0.000,   0.549187,   0.056268,   0.014054,   0.070323,  -0.000000,  -0.000000,  -0.177350,   0.000000,   0.000000,   16.7640,    0.5705
   -1.000,     0.000,   0.588248,   0.064641,   0.012741,   0.077381,  -0.000000,  -0.000000,  -0.174871,   0.000000,   0.000000,   16.7640,    0.5468
    0.000,     0.000,   0.626865,   0.073547,   0.011681,   0.085229,  -0.000000,  -0.000000,  -0.172295,   0.000000,   0.000000,   16.7640,    0.5262
    1.000,     0.000,   0.664996,   0.082971,   0.010796,   0.093767,  -0.000000,  -0.000000,  -0.169622,   0.000000,   0.000000,   16.7640,    0.5082
    2.000,     0.000,   0.702602,   0.092892,   0.009992,   0.102884,  -0.000000,  -0.000000,  -0.166850,   0.000000,   0.000000,   16.7640,    0.4924
    3.000,     0.000,   0.739645,   0.103291,   0.009392,   0.112683,  -0.000000,  -0.000000,  -0.163990,   0.000000,   0.000000,   16.7640,    0.4784
    4.000,     0.000,   0.776087,   0.114144,   0.008914,   0.123058,  -0.000000,  -0.000000,  -0.161040,   0.000000,   0.000000,   16.7640,    0.4660
    5.000,     0.000,   0.811893,   0.125429,   0.008483,   0.133912,  -0.000000,  -0.000000,  -0.158001,   0.000000,   0.000000,   16.7640,    0.4549
    6.000,     0.000,   0.847028,   0.137120,   0.008122,   0.145242,  -0.000000,  -0.000000,  -0.154878,   0.000000,   0.000000,   16.7640,    0.4450
    7.000,     0.000,   0.881457,   0.149191,   0.007899,   0.157090,  -0.000000,  -0.000000,  -0.151678,   0.000000,   0.000000,   16.7640,    0.4360
    8.000,     0.000,   0.915151,   0.161615,   0.007694,   0.169310,  -0.000000,  -0.000000,  -0.148398,   0.000000,   0.000000,   16.7640,    0.4280
    9.000,     0.000,   0.948077,   0.174362,   0.007529,   0.181892,  -0.000000,  -0.000000,  -0.145045,   0.000000,   0.000000,   16.7640,    0.4207
   10.000,     0.000,   0.980207,   0.187403,   0.007469,   0.194873,  -0.000000,  -0.000000,  -0.141623,   0.000000,   0.000000,   16.7640,    0.4142
   11.000,     0.000,   1.011514,   0.200707,   0.007438,   0.208145,  -0.000000,  -0.000000,  -0.138136,   0.000000,   0.000000,   16.7640,    0.4083
   12.000,     0.000,   1.041973,   0.214241,   0.007414,   0.221655,  -0.000000,  -0.000000,  -0.134585,   0.000000,   0.000000,   16.7640,    0.4029
   13.000,     0.000,   1.071559,   0.227973,   0.007396,   0.235369,  -0.000000,  -0.000000,  -0.130975,   0.000000,   0.000000,   16.7640,    0.3980
   14.000,     0.000,   1.100250,   0.241869,   0.007382,   0.249252,  -0.000000,  -0.000000,  -0.127311,   0.000000,   0.000000,   16.7640,    0.3936
   15.000,     0.000,   1.128027,   0.255896,   0.007366,   0.263262,  -0.000000,  -0.000000,  -0.123597,   0.000000,   0.000000,   16.7640,    0.3897
   16.000,     0.000,   1.154870,   0.270017,   0.007361,   0.277378,  -0.000000,  -0.000000,  -0.119838,   0.000000,   0.000000,   16.7640,    0.3861
   17.000,     0.000,   1.180764,   0.284198,   0.007355,   0.291553,  -0.000000,  -0.000000,  -0.116038,   0.000000,   0.000000,   16.7640,    0.3829


