xflr5 v6.47

Plane name :, 42RC15TC_NoFlaps_NoTail_10.8%_FlatBack
Polar name :, T1-55.0 ft/s-VLM2-12.0lb-x10.5in-z0.6in
Freestream speed :, 55.0 ft/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.456429,   0.037935,   0.019400,   0.057335,  -0.000000,  -0.000000,  -0.235094,  -0.000000,  -0.000000,   16.7640,    0.7512
   -4.000,     0.000,   0.495054,   0.044769,   0.016107,   0.060876,  -0.000000,  -0.000000,  -0.237532,  -0.000000,  -0.000000,   16.7640,    0.7182
   -3.000,     0.000,   0.533320,   0.052133,   0.013653,   0.065787,  -0.000000,  -0.000000,  -0.239847,  -0.000000,  -0.000000,   16.7640,    0.6902
   -2.000,     0.000,   0.571186,   0.060015,   0.012333,   0.072349,  -0.000000,  -0.000000,  -0.242053,  -0.000000,  -0.000000,   16.7640,    0.6662
   -1.000,     0.000,   0.608614,   0.068399,   0.011344,   0.079742,  -0.000000,  -0.000000,  -0.244110,  -0.000000,  -0.000000,   16.7640,    0.6455
    0.000,     0.000,   0.645564,   0.077266,   0.010418,   0.087684,  -0.000000,  -0.000000,  -0.246005,  -0.000000,  -0.000000,   16.7640,    0.6274
    1.000,     0.000,   0.682000,   0.086600,   0.009682,   0.096282,  -0.000000,  -0.000000,  -0.247742,  -0.000000,  -0.000000,   16.7640,    0.6116
    2.000,     0.000,   0.717886,   0.096379,   0.009117,   0.105496,  -0.000000,  -0.000000,  -0.249322,  -0.000000,  -0.000000,   16.7640,    0.5977
    3.000,     0.000,   0.753186,   0.106583,   0.008630,   0.115212,  -0.000000,  -0.000000,  -0.250735,  -0.000000,  -0.000000,   16.7640,    0.5854
    4.000,     0.000,   0.787866,   0.117187,   0.008198,   0.125385,  -0.000000,  -0.000000,  -0.251980,  -0.000000,  -0.000000,   16.7640,    0.5745
    5.000,     0.000,   0.821894,   0.128168,   0.007859,   0.136028,  -0.000000,  -0.000000,  -0.253059,  -0.000000,  -0.000000,   16.7640,    0.5647
    6.000,     0.000,   0.855238,   0.139501,   0.007594,   0.147095,  -0.000000,  -0.000000,  -0.253969,  -0.000000,  -0.000000,   16.7640,    0.5560
    7.000,     0.000,   0.887868,   0.151159,   0.007397,   0.158556,  -0.000000,  -0.000000,  -0.254711,  -0.000000,  -0.000000,   16.7640,    0.5483
    8.000,     0.000,   0.919756,   0.163113,   0.007309,   0.170422,  -0.000000,  -0.000000,  -0.255287,  -0.000000,  -0.000000,   16.7640,    0.5414
    9.000,     0.000,   0.950875,   0.175335,   0.007262,   0.182597,  -0.000000,  -0.000000,  -0.255693,  -0.000000,  -0.000000,   16.7640,    0.5352
   10.000,     0.000,   0.981198,   0.187796,   0.007257,   0.195053,  -0.000000,  -0.000000,  -0.255927,  -0.000000,  -0.000000,   16.7640,    0.5297
   11.000,     0.000,   1.010703,   0.200465,   0.007265,   0.207730,  -0.000000,  -0.000000,  -0.255988,  -0.000000,  -0.000000,   16.7640,    0.5247
   12.000,     0.000,   1.039368,   0.213310,   0.007276,   0.220586,  -0.000000,  -0.000000,  -0.255875,  -0.000000,  -0.000000,   16.7640,    0.5203
   13.000,     0.000,   1.067171,   0.226299,   0.007284,   0.233583,   0.000000,  -0.000000,  -0.255587,  -0.000000,  -0.000000,   16.7640,    0.5165
   14.000,     0.000,   1.094094,   0.239400,   0.007293,   0.246693,   0.000000,  -0.000000,  -0.255125,  -0.000000,  -0.000000,   16.7640,    0.5130
   15.000,     0.000,   1.120121,   0.252578,   0.007307,   0.259885,   0.000000,  -0.000000,  -0.254491,  -0.000000,  -0.000000,   16.7640,    0.5100
   16.000,     0.000,   1.145236,   0.265802,   0.007311,   0.273112,   0.000000,  -0.000000,  -0.253684,  -0.000000,  -0.000000,   16.7640,    0.5074
   17.000,     0.000,   1.169425,   0.279035,   0.007317,   0.286352,   0.000000,  -0.000000,  -0.252705,  -0.000000,  -0.000000,   16.7640,    0.5051


