xflr5 v6.47

Plane name :, 42RC_NoFlaps_NoTail_10.8%
Polar name :, T1-55.0 ft/s-VLM2-12.0lb-x10.5in-z0.6in
Freestream speed :, 55.0 ft/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.428663,   0.035098,   0.021899,   0.056996,  -0.000000,  -0.000000,  -0.188378,   0.000000,   0.000000,   16.7640,    0.6864
   -4.000,     0.000,   0.467198,   0.041773,   0.018274,   0.060046,  -0.000000,  -0.000000,  -0.186443,   0.000000,   0.000000,   16.7640,    0.6479
   -3.000,     0.000,   0.505396,   0.049001,   0.015872,   0.064873,  -0.000000,  -0.000000,  -0.184441,   0.000000,   0.000000,   16.7640,    0.6154
   -2.000,     0.000,   0.543217,   0.056769,   0.014257,   0.071026,  -0.000000,  -0.000000,  -0.182358,   0.000000,   0.000000,   16.7640,    0.5878
   -1.000,     0.000,   0.580620,   0.065063,   0.012982,   0.078045,  -0.000000,  -0.000000,  -0.180175,   0.000000,   0.000000,   16.7640,    0.5640
    0.000,     0.000,   0.617566,   0.073866,   0.011886,   0.085751,  -0.000000,  -0.000000,  -0.177889,   0.000000,   0.000000,   16.7640,    0.5433
    1.000,     0.000,   0.654016,   0.083159,   0.010952,   0.094111,  -0.000000,  -0.000000,  -0.175500,   0.000000,   0.000000,   16.7640,    0.5252
    2.000,     0.000,   0.689933,   0.092924,   0.010185,   0.103109,  -0.000000,  -0.000000,  -0.173012,   0.000000,   0.000000,   16.7640,    0.5092
    3.000,     0.000,   0.725281,   0.103139,   0.009565,   0.112704,  -0.000000,  -0.000000,  -0.170428,   0.000000,   0.000000,   16.7640,    0.4951
    4.000,     0.000,   0.760023,   0.113781,   0.009116,   0.122897,  -0.000000,  -0.000000,  -0.167752,   0.000000,   0.000000,   16.7640,    0.4825
    5.000,     0.000,   0.794127,   0.124826,   0.008717,   0.133543,  -0.000000,  -0.000000,  -0.164982,   0.000000,   0.000000,   16.7640,    0.4712
    6.000,     0.000,   0.827558,   0.136250,   0.008380,   0.144630,  -0.000000,  -0.000000,  -0.162122,   0.000000,   0.000000,   16.7640,    0.4612
    7.000,     0.000,   0.860287,   0.148025,   0.008186,   0.156211,  -0.000000,  -0.000000,  -0.159178,   0.000000,   0.000000,   16.7640,    0.4521
    8.000,     0.000,   0.892282,   0.160125,   0.008032,   0.168156,  -0.000000,  -0.000000,  -0.156151,   0.000000,   0.000000,   16.7640,    0.4439
    9.000,     0.000,   0.923516,   0.172519,   0.007880,   0.180399,  -0.000000,  -0.000000,  -0.153041,   0.000000,   0.000000,   16.7640,    0.4366
   10.000,     0.000,   0.953961,   0.185178,   0.007752,   0.192931,  -0.000000,  -0.000000,  -0.149855,   0.000000,   0.000000,   16.7640,    0.4299
   11.000,     0.000,   0.983593,   0.198072,   0.007671,   0.205743,  -0.000000,  -0.000000,  -0.146596,   0.000000,   0.000000,   16.7640,    0.4239
   12.000,     0.000,   1.012388,   0.211169,   0.007594,   0.218763,  -0.000000,  -0.000000,  -0.143267,   0.000000,   0.000000,   16.7640,    0.4184
   13.000,     0.000,   1.040324,   0.224435,   0.007554,   0.231989,  -0.000000,  -0.000000,  -0.139873,   0.000000,   0.000000,   16.7640,    0.4135
   14.000,     0.000,   1.067381,   0.237839,   0.007520,   0.245359,  -0.000000,  -0.000000,  -0.136418,   0.000000,   0.000000,   16.7640,    0.4090
   15.000,     0.000,   1.093540,   0.251346,   0.007490,   0.258836,  -0.000000,  -0.000000,  -0.132904,   0.000000,   0.000000,   16.7640,    0.4050
   16.000,     0.000,   1.118787,   0.264922,   0.007463,   0.272385,  -0.000000,  -0.000000,  -0.129338,   0.000000,   0.000000,   16.7640,    0.4013
   17.000,     0.000,   1.143105,   0.278532,   0.007433,   0.285965,  -0.000000,  -0.000000,  -0.125721,   0.000000,   0.000000,   16.7640,    0.3980


