xflr5 v6.47

Plane name :, 42RC_NoFlaps_NoTail_10.8%_FlatBack
Polar name :, T1-55.0 ft/s-VLM2-12.0lb-x10.5in-z0.6in
Freestream speed :, 55.0 ft/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.444548,   0.037543,   0.020094,   0.057638,  -0.000000,  -0.000000,  -0.223057,  -0.000000,  -0.000000,   16.7640,    0.7462
   -4.000,     0.000,   0.482199,   0.044308,   0.016811,   0.061119,  -0.000000,  -0.000000,  -0.224188,  -0.000000,  -0.000000,   16.7640,    0.7111
   -3.000,     0.000,   0.519497,   0.051600,   0.014354,   0.065953,  -0.000000,  -0.000000,  -0.225204,  -0.000000,  -0.000000,   16.7640,    0.6813
   -2.000,     0.000,   0.556401,   0.059403,   0.012893,   0.072296,  -0.000000,  -0.000000,  -0.226115,  -0.000000,  -0.000000,   16.7640,    0.6558
   -1.000,     0.000,   0.592874,   0.067704,   0.011906,   0.079610,  -0.000000,  -0.000000,  -0.226899,  -0.000000,  -0.000000,   16.7640,    0.6337
    0.000,     0.000,   0.628878,   0.076484,   0.011008,   0.087493,  -0.000000,  -0.000000,  -0.227537,  -0.000000,  -0.000000,   16.7640,    0.6145
    1.000,     0.000,   0.664375,   0.085726,   0.010200,   0.095926,  -0.000000,  -0.000000,  -0.228029,  -0.000000,  -0.000000,   16.7640,    0.5976
    2.000,     0.000,   0.699331,   0.095410,   0.009546,   0.104956,  -0.000000,  -0.000000,  -0.228378,  -0.000000,  -0.000000,   16.7640,    0.5828
    3.000,     0.000,   0.733710,   0.105514,   0.009071,   0.114585,  -0.000000,  -0.000000,  -0.228588,  -0.000000,  -0.000000,   16.7640,    0.5696
    4.000,     0.000,   0.767479,   0.116016,   0.008672,   0.124687,  -0.000000,  -0.000000,  -0.228652,  -0.000000,  -0.000000,   16.7640,    0.5578
    5.000,     0.000,   0.800606,   0.126891,   0.008327,   0.135217,  -0.000000,  -0.000000,  -0.228570,  -0.000000,  -0.000000,   16.7640,    0.5474
    6.000,     0.000,   0.833060,   0.138114,   0.008041,   0.146155,  -0.000000,  -0.000000,  -0.228341,  -0.000000,  -0.000000,   16.7640,    0.5380
    7.000,     0.000,   0.864811,   0.149659,   0.007858,   0.157517,  -0.000000,  -0.000000,  -0.227970,  -0.000000,  -0.000000,   16.7640,    0.5296
    8.000,     0.000,   0.895832,   0.161499,   0.007705,   0.169204,  -0.000000,  -0.000000,  -0.227452,  -0.000000,  -0.000000,   16.7640,    0.5221
    9.000,     0.000,   0.926095,   0.173604,   0.007571,   0.181175,  -0.000000,  -0.000000,  -0.226789,  -0.000000,  -0.000000,   16.7640,    0.5154
   10.000,     0.000,   0.955575,   0.185946,   0.007485,   0.193432,  -0.000000,  -0.000000,  -0.225983,  -0.000000,  -0.000000,   16.7640,    0.5093
   11.000,     0.000,   0.984250,   0.198494,   0.007463,   0.205957,  -0.000000,  -0.000000,  -0.225038,  -0.000000,  -0.000000,   16.7640,    0.5039
   12.000,     0.000,   1.012097,   0.211217,   0.007446,   0.218663,  -0.000000,  -0.000000,  -0.223951,  -0.000000,  -0.000000,   16.7640,    0.4990
   13.000,     0.000,   1.039096,   0.224083,   0.007431,   0.231513,  -0.000000,  -0.000000,  -0.222722,  -0.000000,  -0.000000,   16.7640,    0.4946
   14.000,     0.000,   1.065229,   0.237059,   0.007414,   0.244473,  -0.000000,  -0.000000,  -0.221352,  -0.000000,  -0.000000,   16.7640,    0.4908
   15.000,     0.000,   1.090479,   0.250113,   0.007394,   0.257507,  -0.000000,  -0.000000,  -0.219844,  -0.000000,  -0.000000,   16.7640,    0.4873
   16.000,     0.000,   1.114833,   0.263211,   0.007371,   0.270582,   0.000000,  -0.000000,  -0.218199,  -0.000000,  -0.000000,   16.7640,    0.4843
   17.000,     0.000,   1.138275,   0.276320,   0.007347,   0.283667,   0.000000,  -0.000000,  -0.216418,  -0.000000,  -0.000000,   16.7640,    0.4816


